apply_id,merchant_id,apply_date,lend_amount,lend_period,notional_settle_date,real_settle_date,30days_overdue_times,60days_overdue_times
9664605,000956b7-a8a0-11e6-9007-ecf4bbdeffbc,2017-03-08 00:00:00,20000.0,6,2017-09-10 00:00:00,2017-05-12 00:00:00,0,0
20869326,0057c401-a259-11e6-9007-ecf4bbdeffbc,2017-07-16 00:00:00,15000.0,4,2017-11-19 00:00:00,2017-10-30 00:00:00,0,0
12498066,0057c401-a259-11e6-9007-ecf4bbdeffbc,2017-04-18 00:00:00,15000.0,12,2018-04-19 00:00:00,2017-05-03 00:00:00,0,0
17493251,0057c401-a259-11e6-9007-ecf4bbdeffbc,2017-06-10 00:00:00,20000.0,3,2017-09-14 00:00:00,2017-06-22 00:00:00,0,0
15656214,0057c401-a259-11e6-9007-ecf4bbdeffbc,2017-05-28 00:00:00,5000.0,1,2017-06-29 00:00:00,2017-06-08 00:00:00,0,0
24015336,01bf2857-ed96-4094-a3e7-a1e974f7f510,2017-08-23 00:00:00,5000.0,6,2018-02-24 00:00:00,2017-12-21 00:00:00,2,1
22903775,0466e2e5-8161-11e6-9007-ecf4bbdeffbc,2017-08-11 00:00:00,48000.0,6,2018-02-12 00:00:00,2017-11-20 00:00:00,0,0
25020358,05907b31-ee1b-4eb4-bfb8-7dbcc16c10ea,2017-09-03 00:00:00,10000.0,3,2017-12-04 00:00:00,2017-12-04 00:00:00,1,1
20186508,070518e8-c329-11e6-9007-ecf4bbdeffbc,2017-07-10 00:00:00,10000.0,6,2018-01-11 00:00:00,2017-11-13 00:00:00,3,2
23151359,0934d3f3-a13b-4056-9111-2c126e8ca9bd,2017-08-14 00:00:00,15000.0,3,2017-11-15 00:00:00,2017-11-15 00:00:00,2,1
42404074,113f3e37-852b-4741-a171-8d4b974f02b8,2018-02-04 00:00:00,50000.0,1,2018-03-05 00:00:00,2018-03-04 00:00:00,0,0
21426135,1180a0f3-dce7-4fd6-9e7c-24ca36805ab3,2017-07-23 00:00:00,3000.0,3,2017-10-24 00:00:00,2017-08-19 00:00:00,0,0
36988079,1180a0f3-dce7-4fd6-9e7c-24ca36805ab3,2018-01-01 00:00:00,28000.0,1,2018-02-03 00:00:00,2018-02-02 00:00:00,0,0
27180226,12f31a9e-0008-40fc-8e98-012c748b9812,2017-09-29 00:00:00,10000.0,3,2017-12-30 00:00:00,2018-01-02 00:00:00,2,1
23347502,12f9acd5-f0da-11e5-801b-6c92bf21cf9b,2017-08-16 00:00:00,5000.0,6,2018-02-26 00:00:00,2018-01-23 00:00:00,3,2
20033715,137049e0-2ff5-11e7-8008-7cd30ab49c9c,2017-07-08 00:00:00,8000.0,6,2018-01-10 00:00:00,2018-01-10 00:00:00,4,3
18885977,14bd3226-348b-11e7-bd48-70106fb1fcca,2017-06-24 00:00:00,8000.0,6,2017-12-25 00:00:00,2017-12-24 00:00:00,2,2
30600046,1560bd85-e820-11e5-801b-6c92bf21cf9b,2017-11-08 00:00:00,30000.0,12,2018-11-10 00:00:00,2018-01-30 00:00:00,0,0
30780524,18d84b96-9b2f-11e6-9007-ecf4bbdeffbc,2017-11-10 00:00:00,10000.0,2,2018-01-11 00:00:00,2018-01-08 00:00:00,0,0
19885610,18d84b96-9b2f-11e6-9007-ecf4bbdeffbc,2017-07-06 00:00:00,10000.0,1,2017-08-07 00:00:00,2017-08-03 00:00:00,0,0
