apply_id,merchant_id,apply_date,lend_amount,lend_period,view_days,view_no,30days_overdue_times,60days_overdue_times
53143959,7ed43199-5fd1-11e6-9007-ecf4bbdeffbc,2018-06-11 00:00:00,50000.0,12,12,122,0,0
52485335,34d150d4-f1b4-11e6-9007-ecf4bbdeffbc,2018-06-06 00:00:00,50000.0,12,7,84,0,0
53143906,902c91f4-a8b0-44fc-bff9-3ecda2001f13,2018-06-11 00:00:00,20000.0,6,3,9,2,1
49518258,9e994cc9-a6da-480f-bc76-62bafe33e4f5,2018-05-02 00:00:00,50000.0,6,2,5,0,0
52154538,38a97c4c-d1fd-4a0a-8cb7-81f9558c5a16,2018-06-03 00:00:00,10000.0,12,4,20,4,3
51494612,4074c2a1-e159-4b7b-929a-f55be39c4013,2018-05-27 00:00:00,10000.0,3,1,12,2,1
50964973,1e45041c-9f2e-4aaa-a0a6-2f42f6c48e5e,2018-05-19 00:00:00,3000.0,3,4,11,1,0
52849963,b87b30d7-52fd-11e6-9007-ecf4bbdeffbc,2018-06-08 00:00:00,50000.0,3,6,65,0,0
51968426,f0fb1ffa-2247-11e6-9007-ecf4bbdeffbc,2018-06-01 00:00:00,5000.0,12,2,8,3,3
49717646,0daa5b7d-a883-4878-a707-a3ea4f4c19fa,2018-05-05 00:00:00,5000.0,3,1,2,0,0
53562917,bed1b06d-2de2-4b18-8f93-4728f30ca8c1,2018-06-15 00:00:00,8000.0,3,4,15,0,0
50007193,50e99c93-294a-4691-98d2-c118cc22def7,2018-05-08 00:00:00,45000.0,4,15,69,0,0
49595424,1aabac2f-0b4d-4dc8-a7fb-282c4d753902,2018-05-03 00:00:00,8000.0,3,5,54,0,0
51299221,9c09427e-b49a-4695-8b1a-f903576b79fb,2018-05-24 00:00:00,1000.0,3,4,44,0,0
49875391,4ba3f96a-91be-46f6-9ccc-cc7086c96574,2018-05-06 00:00:00,3000.0,9,2,9,5,4
50349049,d29fdf81-f97e-49d0-9282-140a1839cd3c,2018-05-11 00:00:00,15000.0,12,3,89,0,0
52155339,58256f4a-3b63-405d-8e36-a85486926cb0,2018-06-03 00:00:00,50000.0,3,4,11,0,0
49517973,7742eebe-ece1-11e5-801b-6c92bf21cf9b,2018-05-01 00:00:00,50000.0,12,1,10,0,0
50606088,89885915-32c9-11e6-9007-ecf4bbdeffbc,2018-05-15 00:00:00,50000.0,4,3,22,0,0
49594491,c45d56ce-04a2-11e7-be5d-ecf4bbdede50,2018-05-03 00:00:00,3000.0,12,1,12,4,3
51775019,e87eeb81-237a-46ba-bfa8-00c191e75787,2018-05-29 00:00:00,10000.0,6,1,7,0,0
53385696,bfe626ae-075a-48c9-99cb-cc894298ff9c,2018-06-15 00:00:00,50000.0,12,3,4,0,0
50965434,597b0d57-06a1-4d61-86c4-dda983cc6881,2018-05-21 00:00:00,10000.0,3,9,41,1,0
50082508,852f4d2d-9db0-4c28-a7ab-4731bec2eab4,2018-05-09 00:00:00,50000.0,12,8,87,0,0
51726982,54cb6d64-50b8-11e6-9007-ecf4bbdeffbc,2018-05-28 00:00:00,29000.0,3,3,6,0,0
50556961,8e785016-ba47-47ce-b49b-2bd0c550bf04,2018-05-14 00:00:00,50000.0,12,10,30,0,0
50228902,7b89ff12-0363-4e26-984b-32fe2963b2da,2018-05-09 00:00:00,3000.0,9,3,198,0,0
49877336,4089dd39-afd4-4fbb-8165-eb432cc4f67d,2018-05-06 00:00:00,1000.0,12,9,37,0,0
51298403,cb8aa374-9d5b-434e-bbc5-f742ce684dd2,2018-05-24 00:00:00,25000.0,3,1,7,0,0
50389954,41294863-98c8-436f-92bf-3590087d4b1c,2018-05-11 00:00:00,5000.0,6,2,5,1,0
51105958,0e7b583e-bfba-42fd-b485-c2cfb6ab5d42,2018-05-21 00:00:00,40000.0,6,7,47,0,0
49511094,46488636-0ded-11e7-be5d-ecf4bbdede50,2018-05-01 00:00:00,5000.0,3,1,26,3,3
50970537,1c6e3377-7db3-46ed-8058-7d71b1c257df,2018-05-21 00:00:00,8000.0,3,2,6,0,0
50230403,1a902073-7d2f-48dc-87c5-674866a66d5f,2018-05-10 00:00:00,30000.0,6,2,9,0,0
49717184,0e83e9f2-e73c-4e50-8447-7a47d3c74881,2018-05-04 00:00:00,5000.0,12,1,10,0,0
53562078,fe139776-785b-4e60-bbbb-f9e0d0114915,2018-06-15 00:00:00,3000.0,6,5,37,2,1
51106970,62f4e035-9da0-4bc8-9508-84165aeb440a,2018-05-21 00:00:00,6000.0,3,5,18,0,0
49511433,9c01a02b-a964-477d-b8a7-898800e8562b,2018-05-02 00:00:00,8000.0,12,3,9,10,9
52348922,ca6b5634-997e-4115-af11-1e4699caa21c,2018-06-04 00:00:00,3000.0,3,2,16,2,1
50007088,b5cf7fd1-1642-4f0d-ae0d-3c0afcc1d9e3,2018-05-07 00:00:00,20000.0,6,4,9,0,0
50782496,5afd192b-cb2a-457a-95fb-bd21ff510ade,2018-05-18 00:00:00,15000.0,12,9,21,5,4
53144337,602b8de5-f9de-11e6-9007-ecf4bbdeffbc,2018-06-12 00:00:00,3000.0,3,1,10,1,0
53075076,ed0ffcea-ac9e-4714-9fb7-dd9dc6665eb9,2018-06-11 00:00:00,15000.0,3,3,24,1,0
49369756,0ef96859-03a2-11e6-9180-ecf4bbdede50,2018-05-01 00:00:00,17000.0,3,14,86,0,0
50965523,101dffe1-124f-4e66-b1a6-9abb394514bd,2018-05-21 00:00:00,50000.0,1,12,49,0,0
53145214,2f40ccf1-8928-4bb4-9cdd-52196c79baad,2018-06-12 00:00:00,30000.0,3,6,76,2,1
50606082,c1e1e861-c419-4fcd-8f76-568483c365af,2018-05-15 00:00:00,5000.0,12,14,110,0,0
49875127,75be7d4f-8b4e-4c5d-b023-9070f0126336,2018-05-06 00:00:00,10000.0,3,5,21,0,0
49699936,a6516482-bb0c-441e-8767-de70882c315f,2018-05-03 00:00:00,30000.0,4,2,23,0,0
50391898,faac63d7-78d5-11e6-9007-ecf4bbdeffbc,2018-05-14 00:00:00,30000.0,3,6,24,0,0
51967030,59c7c3e1-4214-42c3-a78c-2778031bb06a,2018-05-31 00:00:00,5000.0,3,1,54,2,1
52485627,e35b6831-2923-48a8-8bbd-3e08b2acf985,2018-06-07 00:00:00,50000.0,3,11,24,0,0
53384182,48c9a281-e5e2-4ef8-b355-4569dee38969,2018-06-14 00:00:00,10000.0,12,2,12,0,0
52154119,c6fbd5ad-d80d-11e6-9007-ecf4bbdeffbc,2018-06-02 00:00:00,99000.0,3,7,55,0,0
52155659,921ecf26-789d-4963-acf4-3be546a24ae9,2018-06-03 00:00:00,2000.0,12,2,6,4,3
53385621,b8830df3-5995-40bd-b507-d73b221e24c9,2018-06-15 00:00:00,8000.0,6,10,157,0,0
52849538,d542154c-7b12-4995-ad95-aace640ef56b,2018-06-10 00:00:00,30000.0,3,8,17,1,0
51297971,755b188c-1fbd-4685-875c-83a42626427b,2018-05-23 00:00:00,5000.0,3,2,9,0,0
52154624,ef4fac33-954b-4780-a196-6f59af4759fd,2018-06-03 00:00:00,30000.0,6,1,12,2,0
52709983,bb9d0a60-8f12-4667-ae02-a131a50da012,2018-06-07 00:00:00,3000.0,12,3,5,0,0
49717747,1f75e798-54cc-4907-b46b-1ff01330510e,2018-05-05 00:00:00,5000.0,6,2,6,5,5
50781741,881e8d9c-938d-4c83-b1b4-7a5ad4a79eba,2018-05-19 00:00:00,3000.0,3,2,10,2,1
51297993,ceac3de9-5303-11e6-9007-ecf4bbdeffbc,2018-05-23 00:00:00,5000.0,6,1,12,2,1
51299005,55373677-c4cb-462f-a328-6bb9e20ce546,2018-05-23 00:00:00,3000.0,12,1,11,0,0
49877256,2c9c076b-e468-4c55-aa49-70bbf67b33c3,2018-05-06 00:00:00,14000.0,3,1,11,0,0
53144209,59e02eae-451d-417e-be49-17a949b17500,2018-06-12 00:00:00,50000.0,3,7,30,0,0
49876948,85c8f593-326e-4443-8bc3-8a16549900e6,2018-05-05 00:00:00,5000.0,3,3,14,1,0
50606940,452fc1e0-8d4b-4c48-acf6-36bfa8e32390,2018-05-14 00:00:00,2000.0,12,6,22,6,5
53144986,d1c053da-9875-40e7-8f56-6a36d45ac787,2018-06-11 00:00:00,5000.0,3,1,4,0,0
50964921,ef77bf45-3afd-4f05-a001-b25b5d3ade68,2018-05-19 00:00:00,3000.0,9,1,6,0,0
52365907,1ad26e5e-3613-464e-8123-43ef7dbe066f,2018-06-04 00:00:00,5000.0,12,1,20,1,0
53144711,f7259624-1b57-11e7-bf3b-008cfae27c4c,2018-06-13 00:00:00,5000.0,4,2,3,0,0
49877295,e5bd436c-8e0f-43d5-ae7b-66661703de0d,2018-05-06 00:00:00,3000.0,12,1,4,1,0
50607140,af868a3d-3467-4941-b540-284c88bd88b2,2018-05-15 00:00:00,8000.0,9,7,46,0,0
49717863,bc0e1ea4-b9f5-43e5-967a-6847483a774f,2018-05-05 00:00:00,8000.0,9,2,35,0,0
52361016,178b25ab-c108-43f1-956c-619a6aedcbc1,2018-06-04 00:00:00,6000.0,9,2,6,5,4
50739967,eb4cade1-1db8-11e7-bf3b-008cfae27c4c,2018-05-16 00:00:00,10000.0,6,4,23,0,0
50556063,dbc6ff9c-4578-498d-9179-b683c8edaf83,2018-05-14 00:00:00,3000.0,12,1,8,2,1
49518069,9f7eaa79-3fac-423f-ad19-bfd874fde16d,2018-05-01 00:00:00,30000.0,6,10,44,0,0
49717265,45e2c3fd-b26c-42b6-bb20-1a6e31f23dfd,2018-05-04 00:00:00,1000.0,3,3,9,0,0
49875477,cc49eab1-b300-11e5-9987-6c92bf21cf9b,2018-05-07 00:00:00,8000.0,3,9,48,1,0
49511007,118db64b-afdc-4ad6-a1da-6dc0582ad309,2018-05-01 00:00:00,50000.0,6,1,2,0,0
49877228,ed51c38b-e7ea-48ed-9d56-7d896c789c94,2018-05-06 00:00:00,8000.0,12,15,86,0,0
51968382,352f9cb7-01c0-11e7-be5d-ecf4bbdede50,2018-06-01 00:00:00,20000.0,12,13,68,5,4
51776309,676508f0-ca42-46c0-9997-ee42a6937782,2018-05-30 00:00:00,50000.0,12,8,55,0,0
49715129,e43dd8fe-7552-48ed-9206-4c1caa38da44,2018-05-04 00:00:00,5000.0,3,5,21,0,0
52155466,b7cbf624-5c12-4b34-9ad5-e7d81388fc98,2018-06-03 00:00:00,15000.0,12,1,13,5,4
50782546,1f94b604-5c9d-4373-9a86-b27fd1324b05,2018-05-18 00:00:00,20000.0,3,4,12,2,1
53385258,1c8f5bb6-452e-4ede-be0b-d93830355c61,2018-06-14 00:00:00,30000.0,12,3,14,0,0
49717899,e3bed92f-b498-44c4-8508-ff1e7dab9259,2018-05-05 00:00:00,5000.0,12,2,12,2,1
51494337,bc515cae-5709-440c-af4c-b68085048104,2018-05-26 00:00:00,15000.0,12,4,14,2,2
52485514,f4a29c29-d6c4-4e01-bc9b-85649f552f4c,2018-06-06 00:00:00,8000.0,12,3,4,4,3
52155440,c55ca0f8-40f2-428b-8fe2-645b7ce09719,2018-06-03 00:00:00,5000.0,12,3,8,4,4
53385173,f3fa8110-385f-47cd-9c6f-6a32fd28ac8f,2018-06-14 00:00:00,2000.0,3,7,33,0,0
51299220,2cbda49e-be6e-42d4-97c4-c938158ce663,2018-05-24 00:00:00,5000.0,6,3,6,0,0
49716998,00fd50af-9860-4406-bcc9-4882d52d27c1,2018-05-03 00:00:00,10000.0,4,5,10,0,0
50083243,ed6f0952-9b27-4713-8e95-d6e9ffbfc856,2018-05-08 00:00:00,3000.0,3,1,5,0,0
50782167,58f3c538-9b4f-4d4a-b3a1-30b4b47dff8c,2018-05-17 00:00:00,15000.0,6,2,14,0,0
53090990,b0df9e65-0cdf-48f1-86ea-f2891001e0b8,2018-06-11 00:00:00,50000.0,7,6,27,0,0
50389985,2b60b7ca-3a0c-4aef-bb6d-e77d00767b23,2018-05-11 00:00:00,2000.0,3,3,18,0,0
51774941,0d80c9bb-bdcd-4f7a-aaa3-5ab68b69a9a5,2018-05-29 00:00:00,8000.0,9,9,38,4,3
51728127,97bb5cac-d0c9-441b-986c-35d0008c1993,2018-05-29 00:00:00,10000.0,12,1,10,3,2
51909061,bc6b1876-6d1d-466e-9a0d-63bc0229421b,2018-05-31 00:00:00,30000.0,9,4,32,4,3
52485369,97c5df1c-bbd1-4673-88c8-54117931010d,2018-06-06 00:00:00,2000.0,12,1,16,0,0
50391795,bcd874c3-331e-4de9-9802-c16e9b8b50b9,2018-05-13 00:00:00,10000.0,6,10,65,0,0
